prefix,fl_seeds,dark_seeds,total_seeds,ratio fl/total
VZ254 T1-10,52,19,71,0.73
VZ254 T1-2,57,32,89,0.64
VZ255 T1-2,36,10,46,0.78
VZ255 T1-3,85,35,120,0.71
